"","feature","frequency","rank","docfreq","group"
"1",",",428501,1,3879,"all"
"2",".",382925,2,3879,"all"
"3","“",76619,3,3829,"all"
"4","”",64325,4,3829,"all"
"5",":",51865,5,3772,"all"
"6","will",38042,6,3824,"all"
"7","us",33219,7,3759,"all"
"8","god",28885,8,3678,"all"
"9","(",28472,9,2777,"all"
"10",")",28469,10,2777,"all"
"11","lord",26698,11,3704,"all"
"12",";",25693,12,3619,"all"
"13","church",22603,13,3429,"all"
"14","christ",22524,14,3875,"all"
"15","one",21895,15,3726,"all"
"16","can",21081,16,3608,"all"
"17","jesus",21023,17,3876,"all"
"18","?",18764,18,3331,"all"
"19","life",16618,19,3476,"all"
"20","said",16020,20,3422,"all"
"21","father",15033,21,3364,"all"
"22","may",14921,22,3552,"all"
"23","…",14426,23,2969,"all"
"24","love",14240,24,3160,"all"
"25","know",13917,25,3438,"all"
"26","children",12891,26,3034,"all"
"27","world",12774,27,3280,"all"
"28","time",12756,28,3440,"all"
"29","shall",12634,29,2833,"all"
"30","great",12350,30,3366,"all"
"31","many",11765,31,3400,"all"
"32","unto",11732,32,2898,"all"
"33","family",11631,33,2700,"all"
"34","come",11573,34,3346,"all"
"35","see",11544,35,3054,"all"
"36","people",11271,36,3073,"all"
"37","president",11162,37,2881,"all"
"38","faith",11117,38,2844,"all"
"39","man",10898,39,2911,"all"
"40","gospel",10847,40,2946,"all"
"41","things",10597,41,3111,"all"
"42","young",10566,42,2655,"all"
"43","priesthood",10225,43,1916,"all"
"44","men",9704,44,2774,"all"
"45","upon",9648,45,3029,"all"
"46","day",9619,46,3137,"all"
"47","work",9539,47,2829,"all"
"48","spirit",9376,48,2874,"all"
"49","now",9258,49,3147,"all"
"50","even",8594,50,3109,"all"
"51","ye",8459,51,2245,"all"
"52","]",8435,52,2453,"all"
"53","[",8434,53,2453,"all"
"54","must",8405,54,2712,"all"
"55","every",8368,55,2959,"all"
"56","also",8367,56,3127,"all"
"57","name",8207,57,3866,"all"
"58","way",8175,58,3069,"all"
"59","years",8092,59,2892,"all"
"60","help",8041,60,2654,"all"
"61","first",8035,61,3033,"all"
"62","savior",8026,62,2672,"all"
"63","home",8016,63,2425,"all"
"64","holy",8000,64,2528,"all"
"65","power",7832,65,2561,"all"
"66","good",7819,66,2788,"all"
"67","lives",7786,67,2987,"all"
"68","prophet",7497,68,2548,"all"
"69","like",7465,69,2920,"all"
"70","!",7285,70,2362,"all"
"71","eternal",7036,71,2536,"all"
"72","son",7016,72,2525,"all"
"73","joseph",6943,73,2103,"all"
"74","words",6848,74,2671,"all"
"75","earth",6841,75,2398,"all"
"76","need",6799,76,2562,"all"
"77","others",6654,77,2614,"all"
"78","members",6494,78,2315,"all"
"79","make",6368,79,2702,"all"
"80","just",6168,80,2672,"all"
"81","go",6161,81,2556,"all"
"82","c",6044,82,1761,"all"
"83","temple",5968,83,1654,"all"
"84","d",5956,84,1772,"all"
"85","&",5839,85,1682,"all"
"86","book",5813,86,1931,"all"
"87","heart",5809,87,2466,"all"
"88","never",5803,88,2502,"all"
"89","made",5796,89,2659,"all"
"90","give",5780,90,2620,"all"
"91","let",5749,91,2387,"all"
"92","say",5660,92,2513,"all"
"93","live",5660,92,2556,"all"
"94","given",5608,94,2551,"all"
"95","came",5548,95,2404,"all"
"96","true",5527,96,2371,"all"
"97","become",5465,97,2458,"all"
"98","heavenly",5345,98,2099,"all"
"99","another",5341,99,2425,"all"
"100","much",5237,100,2445,"all"
"101","taught",5236,101,2323,"all"
"102","new",5193,102,2289,"all"
"103","truth",5146,103,2073,"all"
"104","1",5113,104,1844,"all"
"105","smith",5104,105,1977,"all"
"106","sisters",4999,106,2029,"all"
"107","testimony",4876,107,1916,"all"
"108","two",4868,108,2362,"all"
"109","today",4861,109,2391,"all"
"110","little",4853,110,2025,"all"
"111","women",4836,111,1478,"all"
"112","spiritual",4834,112,1949,"all"
"113","take",4788,113,2412,"all"
"114","blessings",4724,114,2008,"all"
"115","remember",4708,115,2120,"all"
"116","pray",4672,116,2339,"all"
"117","mormon",4652,117,1712,"all"
"118","saints",4643,118,2039,"all"
"119","well",4597,119,2368,"all"
"120","feel",4568,120,2162,"all"
"121","thou",4544,121,1565,"all"
"122","receive",4524,122,2122,"all"
"123","heaven",4522,123,2084,"all"
"124","living",4519,124,2251,"all"
"125","light",4494,125,1619,"all"
"126","called",4480,126,2137,"all"
"127","might",4478,127,2306,"all"
"128","always",4441,128,2216,"all"
"129","without",4420,129,2242,"all"
"130","serve",4411,130,1812,"all"
"131","parents",4300,131,1679,"all"
"132","thy",4223,132,1377,"all"
"133","service",4192,133,1643,"all"
"134","keep",4186,134,2022,"all"
"135","prayer",4155,135,1919,"all"
"136","teach",4136,136,1843,"all"
"137","2",4134,137,1631,"all"
"138","find",4106,138,2121,"all"
"139","mission",4078,139,1540,"all"
"140","scriptures",4047,140,1866,"all"
"141","ghost",4045,141,1484,"all"
"142","asked",4031,142,2085,"all"
"143","word",4028,143,1917,"all"
"144","hearts",3989,144,1987,"all"
"145","amen",3983,145,3860,"all"
"146","’",3974,146,1659,"all"
"147","peace",3947,147,1623,"all"
"148","think",3934,148,2000,"all"
"149","times",3876,149,2112,"all"
"150","experience",3871,150,2050,"all"
"151","commandments",3849,151,1725,"all"
"152","believe",3821,152,1808,"all"
"153","joy",3816,153,1738,"all"
"154","important",3816,153,1961,"all"
"155","personal",3764,155,1892,"all"
"156","3",3761,156,1644,"all"
"157","learn",3760,157,1886,"all"
"158","kingdom",3757,158,1705,"all"
"159","right",3724,159,1856,"all"
"160","brethren",3716,160,1576,"all"
"161","families",3711,161,1593,"all"
"162","follow",3710,162,1891,"all"
"163","lord’s",3695,163,1835,"all"
"164","days",3666,164,1994,"all"
"165","plan",3633,165,1481,"all"
"166","sacred",3627,166,1779,"all"
"167","together",3624,167,1846,"all"
"168","mother",3622,168,1428,"all"
"169","hope",3558,169,1682,"all"
"170","ever",3554,170,2011,"all"
"171","covenants",3507,171,1492,"all"
"172","read",3503,172,1716,"all"
"173","part",3465,173,1989,"all"
"174","prophets",3435,174,1574,"all"
"175","place",3433,175,1955,"all"
"176","away",3379,176,1920,"all"
"177","ago",3366,177,2065,"all"
"178","witness",3350,178,1749,"all"
"179","example",3350,178,1830,"all"
"180","back",3349,180,1797,"all"
"181","bring",3317,181,1978,"all"
"182","told",3303,182,1841,"all"
"183","conference",3291,183,1588,"all"
"184","john",3287,184,1366,"all"
"185","mind",3259,185,1845,"all"
"186","latter-day",3245,186,1730,"all"
"187","want",3234,187,1698,"all"
"188","voice",3215,188,1477,"all"
"189","among",3211,189,1747,"all"
"190","yet",3183,190,1866,"all"
"191","found",3165,191,1817,"all"
"192","understand",3162,192,1746,"all"
"193","divine",3157,193,1565,"all"
"194","speak",3155,194,1774,"all"
"195","god’s",3142,195,1530,"all"
"196","brothers",3130,196,1741,"all"
"197","strength",3119,197,1659,"all"
"198","done",3108,198,1736,"all"
"199","felt",3097,199,1669,"all"
"200","last",3037,200,1849,"all"
"201","knew",3010,201,1558,"all"
"202","often",2998,202,1724,"all"
"203","received",2984,203,1740,"all"
"204","doctrine",2981,204,1446,"all"
"205","alma",2970,205,1033,"all"
"206","call",2966,206,1605,"all"
"207","blessing",2956,207,1561,"all"
"208","‘",2927,208,1127,"all"
"209","testify",2925,209,1817,"all"
"210","society",2915,210,938,"all"
"211","missionaries",2914,211,1046,"all"
"212","leaders",2896,212,1448,"all"
"213","bear",2874,213,1726,"all"
"214","get",2869,214,1581,"all"
"215","blessed",2840,215,1662,"all"
"216","gave",2824,216,1721,"all"
"217","seek",2818,217,1583,"all"
"218","stand",2801,218,1584,"all"
"219","ask",2798,219,1618,"all"
"220","long",2797,220,1735,"all"
"221","faithful",2795,221,1613,"all"
"222","death",2790,222,1329,"all"
"223","missionary",2788,223,1038,"all"
"224","elder",2785,224,1363,"all"
"225","revelation",2782,225,1188,"all"
"226","knowledge",2775,226,1438,"all"
"227","went",2764,227,1575,"all"
"228","happiness",2752,228,1292,"all"
"229","don’t",2743,229,1378,"all"
"230","brother",2738,230,1198,"all"
"231","principles",2710,231,1349,"all"
"232","friends",2702,232,1478,"all"
"233","hear",2690,233,1573,"all"
"234","hand",2681,234,1564,"all"
"235","hands",2669,235,1529,"all"
"236","wife",2662,236,1360,"all"
"237","heard",2647,237,1585,"all"
"238","old",2633,238,1596,"all"
"239","relief",2610,239,719,"all"
"240","better",2609,240,1547,"all"
"241","desire",2601,241,1554,"all"
"242","thee",2589,242,1159,"all"
"243","still",2588,243,1583,"all"
"244","three",2580,244,1566,"all"
"245","house",2577,245,1275,"all"
"246","soul",2575,246,1474,"all"
"247","responsibility",2554,247,1318,"all"
"248","comes",2551,248,1607,"all"
"249","look",2548,249,1553,"all"
"250","something",2526,250,1494,"all"
"251","saw",2481,251,1395,"all"
"252","sins",2479,252,1207,"all"
"253","forth",2477,253,1421,"all"
"254","bishop",2464,254,868,"all"
"255","gift",2461,255,1275,"all"
"256","promise",2459,256,1400,"all"
"257","child",2444,257,1182,"all"
"258","put",2432,258,1561,"all"
"259","bless",2430,259,1490,"all"
"260","thought",2424,260,1562,"all"
"261","end",2414,261,1485,"all"
"262","behold",2413,262,1311,"all"
"263","4",2393,263,1297,"all"
"264","woman",2386,264,1132,"all"
"265","counsel",2374,265,1324,"all"
"266","teaching",2362,266,1209,"all"
"267","stake",2361,267,976,"all"
"268","salvation",2349,268,1263,"all"
"269","small",2345,269,1383,"all"
"270","member",2343,270,1343,"all"
"271","later",2343,270,1515,"all"
"272","5",2335,272,1268,"all"
"273","able",2321,273,1536,"all"
"274","within",2311,274,1426,"all"
"275","meeting",2307,275,1209,"all"
"276","learned",2304,276,1388,"all"
"277","use",2303,277,1317,"all"
"278","thing",2302,278,1444,"all"
"279","youth",2301,279,992,"all"
"280","atonement",2296,280,1076,"all"
"281","needs",2288,281,1286,"all"
"282","authority",2276,282,1036,"all"
"283","sister",2261,283,1003,"all"
"284","best",2260,284,1395,"all"
"285","general",2256,285,1354,"all"
"286","ne",2246,286,827,"all"
"287","set",2223,287,1452,"all"
"288","teachings",2208,288,1237,"all"
"289","second",2206,289,1476,"all"
"290","p",2185,290,942,"all"
"291","covenant",2182,291,872,"all"
"292","means",2182,291,1363,"all"
"293","message",2179,293,1259,"all"
"294","however",2174,294,1420,"all"
"295","wonderful",2168,295,1293,"all"
"296","law",2155,296,935,"all"
"297","beloved",2145,297,1405,"all"
"298","going",2134,298,1322,"all"
"299","face",2128,299,1356,"all"
"300","course",2117,300,1344,"all"
"301","city",2108,301,1229,"all"
"302","history",2100,302,1148,"all"
"303","sacrifice",2096,303,1064,"all"
"304","quorum",2095,304,777,"all"
"305","left",2094,305,1395,"all"
"306","understanding",2091,306,1329,"all"
"307","evil",2087,307,1074,"all"
"308","boy",2086,308,987,"all"
"309","ordinances",2084,309,962,"all"
"310","share",2077,310,1266,"all"
"311","restored",2075,311,1206,"all"
"312","change",2067,312,1121,"all"
"313","morning",2066,313,1280,"all"
"314","tell",2060,314,1329,"all"
"315","repentance",2059,315,962,"all"
"316","opportunity",2055,316,1309,"all"
"317","prepare",2045,317,1167,"all"
"318","around",2037,318,1329,"all"
"319","body",2037,318,1016,"all"
"320","purpose",2029,320,1284,"all"
"321","year",2025,321,1211,"all"
"322","high",2024,322,1255,"all"
"323","though",2018,323,1346,"all"
"324","ward",2014,324,816,"all"
"325","full",2012,325,1353,"all"
"326","answer",2007,326,1290,"all"
"327","homes",2005,327,1089,"all"
"328","sin",1993,328,984,"all"
"329","ways",1984,329,1275,"all"
"330","6",1978,330,1154,"all"
"331","therefore",1972,331,1281,"all"
"332","loved",1956,332,1219,"all"
"333","took",1953,333,1263,"all"
"334","hold",1949,334,1190,"all"
"335","person",1946,335,1203,"all"
"336","righteousness",1939,336,1157,"all"
"337","marriage",1937,337,697,"all"
"338","following",1933,338,1351,"all"
"339","greatest",1928,339,1311,"all"
"340","worthy",1927,340,1122,"all"
"341","walk",1912,341,1157,"all"
"342","beautiful",1910,342,1161,"all"
"343","began",1909,343,1252,"all"
"344","care",1902,344,1098,"all"
"345","perfect",1896,345,1115,"all"
"346","coming",1893,346,1178,"all"
"347","friend",1875,347,1015,"all"
"348","study",1864,348,1093,"all"
"349","greater",1859,349,1250,"all"
"350","return",1858,350,1229,"all"
"351","presidency",1857,351,923,"all"
"352","prepared",1851,352,1175,"all"
"353","special",1847,353,1086,"all"
"354","night",1845,354,1174,"all"
"355","question",1843,355,1125,"all"
"356","became",1842,356,1222,"all"
"357","apostles",1842,356,998,"all"
"358","glory",1839,358,1023,"all"
"359","kind",1836,359,1185,"all"
"360","grateful",1836,359,1155,"all"
"361","enough",1833,361,1191,"all"
"362","sometimes",1828,362,1171,"all"
"363","dear",1825,363,1145,"all"
"364","since",1825,363,1302,"all"
"365","nephi",1824,365,853,"all"
"366","forward",1821,366,1131,"all"
"367","sons",1817,367,1077,"all"
"368","eyes",1808,368,1184,"all"
"369","path",1802,369,884,"all"
"370","hath",1799,370,1147,"all"
"371","welfare",1798,371,482,"all"
"372","7",1791,372,1064,"all"
"373","lost",1786,373,1047,"all"
"374","prayers",1769,374,1047,"all"
"375","next",1769,374,1218,"all"
"376","wisdom",1761,376,1052,"all"
"377","influence",1756,377,1072,"all"
"378","seen",1754,378,1105,"all"
"379","leave",1750,379,1218,"all"
"380","saying",1749,380,1203,"all"
"381","alone",1746,381,1175,"all"
"382","matt",1745,382,837,"all"
"383","choose",1745,382,857,"all"
"384","act",1739,384,1117,"all"
"385","loving",1734,385,1120,"all"
"386","strong",1725,386,1138,"all"
"387","brought",1724,387,1213,"all"
"388","twelve",1723,388,940,"all"
"389","nothing",1720,389,1224,"all"
"390","order",1719,390,1083,"all"
"391","school",1701,391,932,"all"
"392","whose",1701,391,1115,"all"
"393","souls",1699,393,1108,"all"
"394","needed",1693,394,1154,"all"
"395","lead",1692,395,1145,"all"
"396","moses",1689,396,767,"all"
"397","trust",1688,397,922,"all"
"398","father’s",1688,397,1059,"all"
"399","really",1688,397,1085,"all"
"400","filled",1686,400,1184,"all"
"401","mortal",1681,401,934,"all"
"402","sacrament",1680,402,737,"all"
"403","throughout",1677,403,1202,"all"
"404","10",1672,404,1065,"all"
"405","individual",1669,405,1042,"all"
"406","possible",1666,406,1165,"all"
"407","far",1664,407,1208,"all"
"408","kimball",1647,408,784,"all"
"409","promised",1644,409,1109,"all"
"410","land",1642,410,856,"all"
"411","righteous",1641,411,997,"all"
"412","early",1627,412,1102,"all"
"413","known",1625,413,1145,"all"
"414","thus",1624,414,1090,"all"
"415","rather",1622,415,1149,"all"
"416","build",1621,416,1013,"all"
"417","matter",1618,417,1099,"all"
"418","savior’s",1617,418,963,"all"
"419","difficult",1616,419,1133,"all"
"420","paul",1612,420,968,"all"
"421","obedience",1606,421,875,"all"
"422","future",1603,422,990,"all"
"423","meet",1601,423,1097,"all"
"424","someone",1600,424,1029,"all"
"425","turn",1599,425,1152,"all"
"426","according",1592,426,983,"all"
"427","age",1591,427,1029,"all"
"428","israel",1590,428,782,"all"
"429","king",1579,429,764,"all"
"430","direction",1578,430,1058,"all"
"431","whether",1576,431,1077,"all"
"432","salt",1567,432,939,"all"
"433","perhaps",1566,433,1138,"all"
"434","pass",1564,434,1065,"all"
"435","wrote",1540,435,1022,"all"
"436","lake",1539,436,946,"all"
"437","different",1538,437,1026,"all"
"438","provide",1534,438,991,"all"
