Name,f_name,m_name,l_name,suffix,Born,Ordained,Died
Thomas B. Marsh,Thomas,Baldwin,Marsh,,1800-11-1,1835-4-26,1-1-1866
David W. Patten,David,Wyman,Patten,,1799-11-14,1835-2-15,1838-10-25
Brigham Young,Brigham,,Young,,1801-6-1,1835-2-14,1877-8-29
Orson Hyde,Orson,,Hyde,,1805-1-8,1835-2-15,1878-11-28
William E. McLellan,William,E.,McLellin,,1806-1-18,1835-2-15,1883-4-24
Parley P. Pratt,Parley,Parker,Pratt,,1807-4-12,1835-2-21,1857-5-13
Luke S. Johnson,Luke,Samuel,Johnson,,1807-11-3,1835-2-15,1861-12-9
William B. Smith,William,B.,Smith,,1811-3-13,1835-2-15,1893-11-13
Orson Pratt,Orson,,Pratt,,1811-9-19,1835-4-26,1881-10-3
John F. Boynton,John,Farnham,Boynton,,1811-9-20,1835-2-15,1890-10-20
Lyman E. Johnson,Lyman,Eugene,Johnson,,1811-10-24,1835-2-14,1856-12-20
John E. Page,John,Edward,Page,,1799-2-25,1838-12-19,1867-10-14
John Taylor,John,,Taylor,,1808-11-1,1838-12-19,1887-7-25
Wilford Woodruff,Wilford,,Woodruff,,1807-3-1,1839-4-26,1898-9-2
George A. Smith,George,Albert,Smith,,1817-6-26,1839-4-26,1875-9-1
Willard Richards,Willard,,Richards,,1804-6-24,1840-4-14,1854-3-11
Lyman Wight,Lyman,,Wight,,1796-5-9,1841-4-8,1858-3-31
Amasa Lyman,Amasa,Mason,Lyman,,1813-3-30,1842-8-20,1877-2-4
Ezra T. Benson,Ezra,Taft,Benson,,1811-2-22,1846-7-16,1869-9-3
Charles C. Rich,Charles,Coulson,Rich,,1809-8-21,1849-2-12,1883-11-17
Lorenzo Snow,Lorenzo,,Snow,,1814-4-3,1849-2-12,10/10/1901
Erastus Snow,Erastus,,Snow,,1818-11-9,1849-2-12,1888-5-27
Franklin D. Richards,Franklin,Dewey,Richards,,1821-4-2,1849-2-12,1899-12-9
George Q. Cannon,George,Quayle,Cannon,,1827-1-11,1860-8-26,4/12/1901
Joseph F. Smith,Joseph,Fielding,Smith,,1838-11-13,1866-7-1,11/19/1918
Brigham Young Jr.,Brigham,"Young,",Jr.,,1836-12-18,1864-2-4,4/11/1903
Albert Carrington,Albert,,Carrington,,1813-1-8,1870-7-3,1889-9-19
Moses Thatcher,Moses,,Thatcher,,1842-2-2,1879-4-9,8/21/1909
Francis M. Lyman,Francis,Marion,Lyman,,1840-1-12,1880-10-27,11/18/1916
John Henry Smith,John,Henry,Smith,,1848-9-18,1880-10-27,10/13/1911
George Teasdale,George,,Teasdale,,1831-12-8,1882-10-16,6/9/1907
Heber J. Grant,Heber,Jeddy,Grant,,1856-11-22,1882-10-16,5/14/1945
John W. Taylor,John,Whittaker,Taylor,,1858-5-15,1884-4-9,10/10/1916
Marriner W. Merrill,Marriner,Wood,Merrill,,1832-9-25,1889-10-7,2/6/1906
Anthon H. Lund,Anthon,Henrik,Lund,,1844-5-15,1889-10-7,3/2/1921
Abraham H. Cannon,Abraham,Hoagland,Cannon,,1859-3-12,1889-10-7,1896-7-19
Matthias F. Cowley,Matthias,Foss,Cowley,,1858-8-25,1897-10-7,6/16/1940
Abraham O. Woodruff,Abraham,Owen,Woodruff,,1872-11-23,1897-10-7,6/20/1904
Rudger Clawson,Rudger,,Clawson,,1857-3-12,1898-10-10,6/21/1943
Reed Smoot,Reed,,Smoot,,1862-1-10,4/8/1900,2/9/1941
Hyrum M. Smith,Hyrum,Mack,Smith,,1872-3-21,10/24/1901,1/23/1918
George Albert Smith,George,Albert,Smith,,1870-4-4,10/8/1903,4/4/1951
Charles W. Penrose,Charles,William,Penrose,,1832-2-4,7/7/1904,5/16/1925
George F. Richards,George,Franklin,Richards,,1861-2-23,4/9/1906,8/8/1950
Orson F. Whitney,Orson,Ferguson,Whitney,,1855-7-1,4/9/1906,5/16/1931
David O. McKay,David,Oman,McKay,,1873-9-8,4/9/1906,1/18/1970
Anthony W. Ivins,Anthony,Woodward,Ivins,,1852-9-16,10/6/1907,9/23/1934
Joseph Fielding Smith,Joseph,Fielding,Smith,,1876-7-19,4/7/1910,7/2/1972
James E. Talmage,James,Edward,Talmage,,1862-9-21,12/8/1911,7/27/1933
Stephen L Richards,Stephen,L.,Richards,,1879-6-18,1/18/1917,5/19/1959
Richard R. Lyman,Richard,Roswell,Lyman,,1870-11-23,4/7/1918,12/31/1963
Melvin J. Ballard,Melvin,Joseph,Ballard,,1873-2-9,1/7/1919,7/30/1939
John A. Widtsoe,John,Andreas,Widtsoe,,1872-1-31,3/17/1921,11/29/1952
Joseph F. Merrill,Joseph,Francis,Merrill,,1868-8-24,10/8/1931,2/3/1952
Charles A. Callis,Charles,Albert,Callis,,1865-5-4,10/12/1933,1/21/1947
J. Reuben Clark,Joshua,Reuben,"Clark,",Jr.,1871-9-1,10/11/1934,10/6/1961
Alonzo A. Hinckley,Alonzo,Arza,Hinckley,,1870-4-23,10/11/1934,12/22/1936
Albert E. Bowen,Albert,Ernest,Bowen,,1875-10-31,4/8/1937,7/15/1953
Sylvester Q. Cannon,Sylvester,Quayle,Cannon,,1877-6-10,4/14/1938,5/29/1943
Harold B. Lee,Harold,Bingham,Lee,,1899-3-28,4/10/1941,12/26/1973
Spencer W. Kimball,Spencer,Woolley,Kimball,,1895-3-28,10/7/1943,11/5/1985
Ezra Taft Benson,Ezra,Taft,Benson,,1899-8-4,10/7/1943,5/30/1994
Mark E. Petersen,Mark,Edward,Petersen,,11/7/1900,4/20/1944,1/11/1984
Matthew Cowley,Matthew,,Cowley,,1897-8-2,10/11/1945,12/13/1953
Henry D. Moyle,Henry,Dinwoodey,Moyle,,1889-4-22,4/10/1947,9/18/1963
Delbert L. Stapley,Delbert,Leon,Stapley,,1896-12-11,10/5/1950,8/19/1978
Marion G. Romney,Marion,George,Romney,,1897-9-19,10/11/1951,5/20/1988
LeGrand Richards,LeGrand,,Richards,,1886-2-6,4/10/1952,1/11/1983
Adam S. Bennion,Adam,Samuel,Bennion,,1886-12-2,4/9/1953,2/11/1958
Richard L. Evans,Richard,Louis,Evans,,3/23/1906,10/8/1953,11/1/1971
George Q. Morris,George,Quayle,Morris,,1874-2-20,4/8/1954,4/23/1962
Hugh B. Brown,Hugh,Brown,Brown,,1883-10-24,4/10/1958,12/2/1975
Howard W. Hunter,Howard,William,Hunter,,11/14/1907,10/15/1959,3/3/1995
Gordon B. Hinckley,Gordon,Bitner,Hinckley,,6/23/1910,10/5/1961,1/27/2008
N. Eldon Tanner,Nathan,Eldon,Tanner,,1898-5-9,10/11/1962,11/27/1982
Thomas S. Monson,Thomas,Spencer,Monson,,8/21/1927,10/10/1963,1/2/2018
Boyd K. Packer,Boyd,Kenneth,Packer,,9/10/1924,4/9/1970,7/3/2015
Marvin J. Ashton,Marvin,Jeremy,Ashton,,5/6/1915,12/2/1971,2/25/1994
Bruce R. McConkie,Bruce,Redd,McConkie,,7/29/1915,10/12/1972,4/19/1985
L. Tom Perry,Lowell,Tom,Perry,,8/5/1922,4/11/1974,5/30/2015
David B. Haight,David,Bruce,Haight,,9/2/1906,1/8/1976,7/31/2004
James E. Faust,James,Esdras,Faust,,7/31/1920,10/1/1978,8/10/2007
Neal A. Maxwell,Neal,Ash,Maxwell,,7/6/1926,7/23/1981,7/21/2004
Russell M. Nelson,Russell,Marion,Nelson,,9/9/1924,4/12/1984,
Dallin H. Oaks,Dallin,Harris,Oaks,,8/12/1932,5/3/1984,
M. Russell Ballard,Melvin,Russell,"Ballard,",Jr.,10/8/1928,10/10/1985,11/12/2023
Joseph B. Wirthlin,Joseph,Bitner,Wirthlin,,6/11/1917,10/9/1986,12/1/2008
Richard G. Scott,Richard,Gordon,Scott,,11/7/1928,10/6/1988,9/22/2015
Robert D. Hales,Robert,Dean,Hales,,8/24/1932,4/7/1994,10/1/2017
Jeffrey R. Holland,Jeffrey,Roy,Holland,,12/3/1940,6/23/1994,
Henry B. Eyring,Henry,Bennion,Eyring,,5/31/1933,4/6/1995,
Dieter F. Uchtdorf,Dieter,Friedrich,Uchtdorf,,6/15/1952,10/2/2004,
David A. Bednar,David,Allan,Bednar,,11/6/1940,10/2/2004,
Quentin L. Cook,Quentin,LaMar,Cook,,9/8/1940,10/6/2007,
D. Todd Christofferson,David,Todd,Christofferson,,1/24/1945,4/5/2008,
Neil L. Andersen,Neil,Linden,Andersen,,8/9/1951,4/4/2009,
Ronald A. Rasband,Ronald,Anderson,Rasband,,2/5/1951,10/3/2015,
Gary E. Stevenson,Gary,Evan,Stevenson,,8/6/1955,10/3/2015,
Dale G. Renlund,Dale,Gunnar,Renlund,,11/13/1952,10/3/2015,
Gerrit W. Gong,Gerrit,Walter,Gong,,12/23/1953,3/21/2018,
Ulisses Soares,Ulisses,,Soares,,10/2/1958,4/5/2018,
Patrick Kearon,Patrick,,Kearon,,7/18/1961,12/7/2023,
