update__staff_KEY,update_date_utc,sheet_entry_KEY,ledger_entry_KEY,bill_amount_collected,surcharge_collected,discount_collected,sales_tax_collected,service_tax_collected,collected,from__ledger_entry_KEY,collection_source__ledger_entry_KEY,units_collected,time_amount_collected,time_units_collected,expense_amount_collected,expense_units_collected,progress_amount_collected
61,43413.98856,61,30,70,0,0,0,0,70,30,925,0.5,70,0.5,0,0,0
61,44035.86127,61,41,70,0,0,0,0,70,41,934,0.5,70,0.5,0,0,0
61,44035.86127,61,41,70,0,0,0,0,70,41,934,0.5,70,0.5,0,0,0
61,43229.81954,61,24,70,0,0,0,0,70,24,919,0.5,70,0.5,0,0,0
61,43196.90875,61,23,70,0,0,0,0,70,23,918,0.5,70,0.5,0,0,0
61,42572.87963,94,17,70,0,0,0,0,70,17,912,0.5,70,0.5,0,0,0
61,44035.86127,61,41,70,0,0,0,0,70,41,934,0.5,70,0.5,0,0,0
61,42572.87963,94,17,70,0,0,0,0,70,17,912,0.5,70,0.5,0,0,0
61,42500.84389,94,16,70,0,0,0,0,70,16,911,0.5,70,0.5,0,0,0
61,43594.90788,61,118,70,0,0,0,0,70,118,1015,0.5,70,0.5,0,0,0
61,43263.828,61,109,70,0,0,0,0,70,109,1006,0.5,70,0.5,0,0,0
61,43474.97044,61,116,70,0,0,0,0,70,116,689,0.5,70,0.5,0,0,0
61,44035.86109,61,126,70,0,0,0,0,70,126,1021,0.5,70,0.5,0,0,0
61,43907.90163,61,123,70,0,0,0,0,70,123,690,0.5,70,0.5,0,0,0
61,43326.93235,61,111,70,0,0,0,0,70,111,1008,0.5,70,0.5,0,0,0
61,43789.86017,61,120,70,0,0,0,0,70,120,1017,0.5,70,0.5,0,0,0
61,43413.98832,61,114,70,0,0,0,0,70,114,1011,0.5,70,0.5,0,0,0
61,43462.95019,61,115,70,0,0,0,0,70,115,1012,0.5,70,0.5,0,0,0
61,43326.93235,61,111,70,0,0,0,0,70,111,1008,0.5,70,0.5,0,0,0
61,43619.85244,61,156,70,0,0,0,0,70,156,1079,0.5,70,0.5,0,0,0
61,42401.90891,70,170,130,0,0,0,0,130,170,1106,0.5,130,0.5,0,0,0
61,41929.70956,92,8,57.5,0,0,0,0,57.5,8,902,0.5,57.5,0.5,0,0,0
61,41990.90852,102,9,57.5,0,0,0,0,57.5,9,904,0.5,57.5,0.5,0,0,0
61,41990.90881,61,90,57.5,0,0,0,0,57.5,90,987,0.5,57.5,0.5,0,0,0
61,42062.92895,61,91,57.5,0,0,0,0,57.5,91,988,0.5,57.5,0.5,0,0,0
61,41869.82558,61,87,57.5,0,0,0,0,57.5,87,984,0.5,57.5,0.5,0,0,0
61,41869.82558,92,87,57.5,0,0,0,0,57.5,87,984,0.5,57.5,0.5,0,0,0
61,41869.82558,61,87,57.5,0,0,0,0,57.5,87,984,0.5,57.5,0.5,0,0,0
61,43196.90875,61,23,67.5,0,0,0,0,67.5,23,918,0.5,67.5,0.5,0,0,0
61,43054.94763,92,103,67.5,0,0,0,0,67.5,103,1000,0.5,67.5,0.5,0,0,0
61,43054.94763,92,103,67.5,0,0,0,0,67.5,103,1000,0.5,67.5,0.5,0,0,0
61,43054.94763,92,103,67.5,0,0,0,0,67.5,103,1000,0.5,67.5,0.5,0,0,0
61,43054.94763,61,103,67.5,0,0,0,0,67.5,103,1000,0.5,67.5,0.5,0,0,0
61,43054.94763,48,103,67.5,0,0,0,0,67.5,103,1000,0.5,67.5,0.5,0,0,0
61,42922.87876,92,102,67.5,0,0,0,0,67.5,102,999,0.5,67.5,0.5,0,0,0
61,42789.9602,92,100,67.5,0,0,0,0,67.5,100,997,0.5,67.5,0.5,0,0,0
61,42786.87344,96,173,67.5,0,0,0,0,67.5,173,1109,0.5,67.5,0.5,0,0,0
