invoice_KEY,update__staff_KEY,update_date_utc,client_KEY,client__client_id,client__client_id_sortable,client__description,client__office__office_id,client__partner__staff__staff_id,client__manager__staff__staff_id,invoice_number,reference,invoice_date,due_date,digita_tax_point_date_override,digita_proforma__ledger_entry_KEY,comments,billed_date,billed__staff_KEY,billed__staff__staff_id,approved_date,approved__staff_KEY,approved__staff__staff_id,posted_date,posted__staff_KEY,posted__staff__staff_id,amount,posted_open_amount,time_amount_billed,time_amount_adjusted,expense_amount_billed,expense_amount_adjusted,progress_amount_billed,surcharge,discount,sales_tax,service_tax,ledger_entry_KEY,printed,report_definition_KEY,invoice_format,invoice_format_storage_style_KEY,positive_invoiced,negative_invoiced,positive_nonprogress_invoiced,negative_nonprogress_invoiced,positive_progress_invoiced,negative_progress_invoiced,ledger_entry_subtype_KEY
87,54,01/02/2018,4,27956983500,27956983500                              `,WealthWave Advisors,IDMV,4081OL,4081OL,8369,,07/31/2014,08/20/2014,,,,08/06/2014,61,2014HM,08/08/2014,61,2014HM,08/11/2014,61,2014HM,172.5,0,172.5,0,0,0,0,0,0,0,0,87,TRUE,147,,3,172.5,0,172.5,0,0,0,1
88,61,01/02/2018,4,27956983500,27956983500                              `,WealthWave Advisors,IDMV,4081OL,4081OL,9521,,09/30/2014,10/20/2014,,,,10/07/2014,61,2014HM,10/08/2014,61,2014HM,10/08/2014,61,2014HM,120.75,0,120.75,0,0,0,0,0,0,0,0,88,TRUE,147,,3,120.75,0,120.75,0,0,0,1
89,61,01/02/2018,4,27956983500,27956983500                              `,WealthWave Advisors,IDMV,4081OL,4081OL,9930,,10/31/2014,11/20/2014,,,,11/03/2014,61,2014HM,11/06/2014,61,2014HM,11/07/2014,61,2014HM,103.5,0,103.5,0,0,0,0,0,0,0,0,89,TRUE,147,,3,103.5,0,103.5,0,0,0,1
90,106,01/02/2018,4,27956983500,27956983500                              `,WealthWave Advisors,IDMV,4081OL,4081OL,10474,,11/28/2014,12/18/2014,,,,11/26/2014,61,2014HM,12/03/2014,61,2014HM,12/04/2014,61,2014HM,57.5,0,57.5,0,0,0,0,0,0,0,0,90,TRUE,147,,3,57.5,0,57.5,0,0,0,1
91,72,01/02/2018,4,27956983500,27956983500                              `,WealthWave Advisors,IDMV,4081OL,4081OL,11627,,01/31/2015,02/20/2015,,,,02/03/2015,101,2776SL,02/05/2015,61,2014HM,02/06/2015,61,2014HM,270,0,270,0,0,0,0,0,0,0,0,91,TRUE,147,,3,270,0,270,0,0,0,1
93,76,01/02/2018,4,27956983500,27956983500                              `,WealthWave Advisors,IDMV,4081OL,4081OL,14181,,04/27/2015,05/17/2015,,,,04/27/2015,101,2776SL,05/05/2015,61,2014HM,05/07/2015,61,2014HM,80.5,0,80.5,0,0,0,0,0,0,0,0,93,TRUE,147,,3,80.5,0,80.5,0,0,0,1
94,61,01/02/2018,4,27956983500,27956983500                              `,WealthWave Advisors,IDMV,4081OL,4081OL,18113,,10/31/2015,11/20/2015,,,,11/04/2015,101,2776SL,11/06/2015,61,2014HM,11/06/2015,61,2014HM,241.5,0,241.5,0,0,0,0,0,0,0,0,94,TRUE,147,,3,241.5,0,241.5,0,0,0,1
95,93,01/02/2018,4,27956983500,27956983500                              `,WealthWave Advisors,IDMV,4081OL,4081OL,19252,,12/31/2015,01/20/2016,,,,01/12/2016,101,2776SL,01/13/2016,61,2014HM,01/13/2016,61,2014HM,120.75,0,120.75,0,0,0,0,0,0,0,0,95,TRUE,147,,3,120.75,0,120.75,0,0,0,1
96,62,01/02/2018,4,27956983500,27956983500                              `,WealthWave Advisors,IDMV,4081OL,4081OL,19776,,01/31/2016,02/20/2016,,,,02/07/2016,101,2776SL,02/10/2016,61,2014HM,02/10/2016,61,2014HM,155.25,0,155.25,0,0,0,0,0,0,0,0,96,TRUE,147,,3,155.25,0,155.25,0,0,0,1
98,61,01/02/2018,4,27956983500,27956983500                              `,WealthWave Advisors,IDMV,4081OL,4081OL,22956,,04/30/2016,05/20/2016,,,,05/05/2016,61,2014HM,05/05/2016,61,2014HM,05/05/2016,61,2014HM,78,0,78,0,0,0,0,0,0,0,0,98,TRUE,147,,3,78,0,78,0,0,0,1
99,55,01/02/2018,4,27956983500,27956983500                              `,WealthWave Advisors,IDMV,4081OL,4081OL,24535,,07/31/2016,08/20/2016,,,,08/08/2016,61,2014HM,08/08/2016,61,2014HM,08/08/2016,61,2014HM,258,0,258,0,0,0,0,0,0,0,0,99,TRUE,147,,3,258,0,258,0,0,0,1
100,104,01/01/2018,4,27956983500,27956983500                              `,WealthWave Advisors,IDMV,4081OL,4081OL,28244,,01/31/2017,02/20/2017,,,,02/05/2017,61,2014HM,02/05/2017,61,2014HM,02/06/2017,61,2014HM,625.5,0,625.5,0,0,0,0,0,0,0,0,100,TRUE,147,,3,625.5,0,625.5,0,0,0,1
82,61,01/02/2018,4,27956983500,27956983500                              `,WealthWave Advisors,IDMV,4081OL,4081OL,1101,,08/31/2013,08/31/2013,,,,09/06/2013,61,2014HM,09/10/2013,61,2014HM,09/10/2013,61,2014HM,129.6,0,129.6,0,0,0,0,0,0,0,0,82,TRUE,147,,3,129.6,0,129.6,0,0,0,1
83,78,01/02/2018,4,27956983500,27956983500                              `,WealthWave Advisors,IDMV,4081OL,4081OL,2225,,10/31/2013,10/31/2013,,,,11/05/2013,101,2776SL,11/06/2013,61,2014HM,11/06/2013,61,2014HM,115,0,115,0,0,0,0,0,0,0,0,83,TRUE,147,,3,115,0,115,0,0,0,1
