ledger_entry_KEY,update__staff_KEY,update_date_utc,bank_account_KEY,bank_account__bank_account_id,bank_account__bank_account_id_sortable,bank_account__description,control_date,submittal_status_KEY,digita_vat_period_KEY,ledger_entry_subtype_KEY,ledger_entry_type_KEY,ledger_entry_type__ledger_entry_type_id,ledger_entry_type__ledger_entry_type_id_sortable,ledger_entry_type__description,client_KEY,client__client_id,client__client_id_sortable,client__description,client__office__office_id,client__partner__staff__staff_id,client__manager__staff__staff_id,entry_date,reference,normal_sign,debit_amount,credit_amount,amount,open_date,posted_open_amount,live_open_amount,posted_closed_amount,live_closed_amount,posted_application_count,comments,internal_comments,approved_date,approved__staff_KEY,approved__staff__staff_id,approved__staff__staff_id_sortable,posted_date,posted__staff_KEY,posted__staff__staff_id,posted__staff__staff_id_sortable,entry_number,digita_tax_point_date_override,digita_proforma__ledger_entry_KEY,void_date,is_posted,is_approved
1,61,01/02/2018,,,,,06/30/2013,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,06/30/2013,,1,441.5,0,441.5,01/01/2079,0,0,441.5,441.5,1,,,07/12/2013,61,2014HM,2014HM,07/15/2013,61,2014HM,2014HM,500,,,,TRUE,TRUE
2,62,01/02/2018,,,,,09/06/2013,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,08/31/2013,,1,75.6,0,75.6,01/01/2079,0,0,75.6,75.6,1,,,09/10/2013,61,2014HM,2014HM,09/10/2013,61,2014HM,2014HM,1102,,,,TRUE,TRUE
3,106,01/02/2018,,,,,10/31/2013,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,10/31/2013,,1,178.75,0,178.75,01/01/2079,0,0,178.75,178.75,1,,,11/06/2013,61,2014HM,2014HM,11/06/2013,61,2014HM,2014HM,2227,,,,TRUE,TRUE
4,61,01/02/2018,,,,,11/30/2013,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,11/30/2013,,1,144,0,144,01/01/2079,0,0,144,144,1,,,12/05/2013,61,2014HM,2014HM,12/05/2013,61,2014HM,2014HM,2677,,,,TRUE,TRUE
5,12,01/02/2018,,,,,12/31/2013,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,12/31/2013,,1,140,0,140,01/01/2079,0,0,140,140,1,,,01/08/2014,61,2014HM,2014HM,01/08/2014,61,2014HM,2014HM,3001,,,,TRUE,TRUE
6,61,01/02/2018,,,,,03/31/2014,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,03/31/2014,,1,220,0,220,01/01/2079,0,0,220,220,1,,,04/04/2014,61,2014HM,2014HM,04/05/2014,61,2014HM,2014HM,5446,,,,TRUE,TRUE
7,78,01/02/2018,,,,,06/30/2014,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,06/30/2014,,1,338.5,0,338.5,01/01/2079,0,0,338.5,338.5,1,,,07/08/2014,61,2014HM,2014HM,07/08/2014,47,4648IS,4648IS,7921,,,,TRUE,TRUE
8,78,01/02/2018,,,,,09/30/2014,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,09/30/2014,,1,247.25,0,247.25,01/01/2079,0,0,247.25,247.25,1,,,10/08/2014,61,2014HM,2014HM,10/08/2014,61,2014HM,2014HM,9522,,,,TRUE,TRUE
9,64,01/02/2018,,,,,11/28/2014,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,11/28/2014,,1,402.5,0,402.5,01/01/2079,0,0,402.5,402.5,1,,,12/03/2014,61,2014HM,2014HM,12/04/2014,61,2014HM,2014HM,10475,,,,TRUE,TRUE
10,82,01/02/2018,,,,,01/31/2015,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,01/31/2015,,1,155.25,0,155.25,01/01/2079,0,0,155.25,155.25,1,,,02/05/2015,61,2014HM,2014HM,02/06/2015,61,2014HM,2014HM,11629,,,,TRUE,TRUE
11,64,01/02/2018,,,,,05/01/2015,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,04/30/2015,,1,201.25,0,201.25,01/01/2079,0,0,201.25,201.25,1,,,05/05/2015,61,2014HM,2014HM,05/07/2015,61,2014HM,2014HM,14544,,,,TRUE,TRUE
12,78,01/02/2018,,,,,06/30/2015,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,06/30/2015,,1,1164.5,0,1164.5,01/01/2079,0,0,1164.5,1164.5,1,,,07/09/2015,61,2014HM,2014HM,07/09/2015,61,2014HM,2014HM,15937,,,,TRUE,TRUE
13,76,01/02/2018,,,,,10/31/2015,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,10/31/2015,,1,402.5,0,402.5,01/01/2079,0,0,402.5,402.5,1,,,11/06/2015,61,2014HM,2014HM,11/06/2015,61,2014HM,2014HM,18114,,,,TRUE,TRUE
14,76,01/02/2018,,,,,12/31/2015,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,12/31/2015,,1,166.75,0,166.75,01/01/2079,0,0,166.75,166.75,1,,,01/13/2016,61,2014HM,2014HM,01/13/2016,61,2014HM,2014HM,19253,,,,TRUE,TRUE
