id,year,month,day,session,speaker,title,hyperlink
1,1971,April,Tuesday,A,Joseph Fielding Smith,A Witness and a Blessing,https://www.churchofjesuschrist.org/study/general-conference/1971/04/a-witness-and-a-blessing
2,1971,April,Tuesday,A,Henry D. Taylor,Man Cannot Endure on Borrowed Light,https://www.churchofjesuschrist.org/study/general-conference/1971/04/man-cannot-endure-on-borrowed-light
3,1971,April,Tuesday,A,William H. Bennett,Help Needed in the Shaded Areas,https://www.churchofjesuschrist.org/study/general-conference/1971/04/help-needed-in-the-shaded-areas
4,1971,April,Tuesday,A,Delbert L. Stapley,Honesty and Integrity,https://www.churchofjesuschrist.org/study/general-conference/1971/04/honesty-and-integrity
5,1971,April,Tuesday,A,Paul H. Dunn,Young People—Learn Wisdom in Thy Youth,https://www.churchofjesuschrist.org/study/general-conference/1971/04/young-people-learn-wisdom-in-thy-youth
6,1971,April,Tuesday,A,Eldred G. Smith,All May Share in Adam’s Blessing,https://www.churchofjesuschrist.org/study/general-conference/1971/04/all-may-share-in-adams-blessing
7,1971,April,Tuesday,A,LeGrand Richards,In the Mountain of the Lord’s House,https://www.churchofjesuschrist.org/study/general-conference/1971/04/in-the-mountain-of-the-lords-house
8,1971,April,Tuesday,M,Thomas S. Monson,Lost Battalions,https://www.churchofjesuschrist.org/study/general-conference/1971/04/lost-battalions
9,1971,April,Tuesday,M,James A. Cullimore,Marriage Is Intended to Be Forever,https://www.churchofjesuschrist.org/study/general-conference/1971/04/marriage-is-intended-to-be-forever
10,1971,April,Tuesday,M,Marion D. Hanks,Practicing What We Preach,https://www.churchofjesuschrist.org/study/general-conference/1971/04/practicing-what-we-preach
11,1971,April,Tuesday,M,Alvin R. Dyer,Ye Shall Not Fear,https://www.churchofjesuschrist.org/study/general-conference/1971/04/ye-shall-not-fear
12,1971,April,Tuesday,M,Boyd K. Packer,“The Spirit Beareth Record”,https://www.churchofjesuschrist.org/study/general-conference/1971/04/the-spirit-beareth-record
13,1971,April,Sunday,A,Bernard P. Brockbank,Love of God,https://www.churchofjesuschrist.org/study/general-conference/1971/04/love-of-god
14,1971,April,Sunday,A,Theodore M. Burton,Kingdom of God,https://www.churchofjesuschrist.org/study/general-conference/1971/04/kingdom-of-god
15,1971,April,Sunday,A,Loren C. Dunn,Drink of the Pure Water,https://www.churchofjesuschrist.org/study/general-conference/1971/04/drink-of-the-pure-water
16,1971,April,Sunday,A,Hartman Rector Jr.,Ignorance Is Expensive,https://www.churchofjesuschrist.org/study/general-conference/1971/04/ignorance-is-expensive
17,1971,April,Sunday,A,Bruce R. McConkie,The Lord’s People Receive Revelation,https://www.churchofjesuschrist.org/study/general-conference/1971/04/the-lords-people-receive-revelation
18,1971,April,Sunday,A,Joseph Anderson,Eternal Joy Is Eternal Growth,https://www.churchofjesuschrist.org/study/general-conference/1971/04/eternal-joy-is-eternal-growth
19,1971,April,Sunday,A,Harold B. Lee,The Iron Rod,https://www.churchofjesuschrist.org/study/general-conference/1971/04/the-iron-rod
20,1971,April,Sunday,M,Richard L. Evans,Where Are You Really Going?,https://www.churchofjesuschrist.org/study/general-conference/1971/04/where-are-you-really-going
21,1971,April,Sunday,M,Gordon B. Hinckley,“Except the Lord Build the House …”,https://www.churchofjesuschrist.org/study/general-conference/1971/04/except-the-lord-build-the-house
22,1971,April,Sunday,M,A. Theodore Tuttle,The Message of the Restoration,https://www.churchofjesuschrist.org/study/general-conference/1971/04/the-message-of-the-restoration
23,1971,April,Sunday,M,John H. Vandenberg,My Brother’s Keeper,https://www.churchofjesuschrist.org/study/general-conference/1971/04/my-brothers-keeper
24,1971,April,Sunday,M,N. Eldon Tanner,“Choose You This Day”,https://www.churchofjesuschrist.org/study/general-conference/1971/04/choose-you-this-day
25,1971,April,General,P,Harold B. Lee,Today’s Young People,https://www.churchofjesuschrist.org/study/general-conference/1971/04/todays-young-people
26,1971,April,General,P,N. Eldon Tanner,Search for the Wanderers,https://www.churchofjesuschrist.org/study/general-conference/1971/04/search-for-the-wanderers
27,1971,April,General,P,Wendell J. Ashton,Unchanging Principles of Leadership,https://www.churchofjesuschrist.org/study/general-conference/1971/04/unchanging-principles-of-leadership
28,1971,April,General,P,Victor L. Brown,The Meaning of Morality,https://www.churchofjesuschrist.org/study/general-conference/1971/04/the-meaning-of-morality
29,1971,April,General,P,David B. Haight,“Teach One Another”,https://www.churchofjesuschrist.org/study/general-conference/1971/04/teach-one-another
30,1971,April,General,P,Howard W. Hunter,Prepare Every Needful Thing,https://www.churchofjesuschrist.org/study/general-conference/1971/04/prepare-every-needful-thing
31,1971,April,General,P,Joseph Fielding Smith,Our Responsibilities as Priesthood Holders,https://www.churchofjesuschrist.org/study/general-conference/1971/04/our-responsibilities-as-priesthood-holders
32,1971,April,Saturday,A,Mark E. Petersen,Warnings from the Past,https://www.churchofjesuschrist.org/study/general-conference/1971/04/warnings-from-the-past
33,1971,April,Saturday,A,Franklin D. Richards,The Law of Abundance,https://www.churchofjesuschrist.org/study/general-conference/1971/04/the-law-of-abundance
34,1971,April,Saturday,A,Sterling W. Sill,Great Experiences,https://www.churchofjesuschrist.org/study/general-conference/1971/04/great-experiences
35,1971,April,Saturday,A,Milton R. Hunter,“Thou Shalt Not Commit Adultery”,https://www.churchofjesuschrist.org/study/general-conference/1971/04/thou-shalt-not-commit-adultery
36,1971,April,Saturday,A,S. Dilworth Young,“When Thou Art Converted”,https://www.churchofjesuschrist.org/study/general-conference/1971/04/when-thou-art-converted
37,1971,April,Saturday,A,ElRay L. Christiansen,Be Slow to Anger,https://www.churchofjesuschrist.org/study/general-conference/1971/04/be-slow-to-anger
38,1971,April,Saturday,A,Marion G. Romney,Satan—The Great Deceiver,https://www.churchofjesuschrist.org/study/general-conference/1971/04/satan-the-great-deceiver
39,1971,April,Saturday,M,Ezra Taft Benson,Life Is Eternal,https://www.churchofjesuschrist.org/study/general-conference/1971/04/life-is-eternal
40,1971,April,Saturday,M,Marvin J. Ashton,Love of the Right,https://www.churchofjesuschrist.org/study/general-conference/1971/04/love-of-the-right
41,1971,April,Saturday,M,Spencer W. Kimball,"Voices of the Past, of the Present, of the Future",https://www.churchofjesuschrist.org/study/general-conference/1971/04/voices-of-the-past-of-the-present-of-the-future
42,1971,April,Saturday,M,Joseph Fielding Smith,Out of the Darkness,https://www.churchofjesuschrist.org/study/general-conference/1971/04/out-of-the-darkness
43,1971,October,Sunday,A,Joseph Fielding Smith,Let the Spirit of Oneness Prevail,https://www.churchofjesuschrist.org/study/general-conference/1971/10/let-the-spirit-of-oneness-prevail
44,1971,October,Sunday,A,Hugh B. Brown,This Same Jesus,https://www.churchofjesuschrist.org/study/general-conference/1971/10/this-same-jesus
45,1971,October,Sunday,A,Thomas S. Monson,With Hand and Heart,https://www.churchofjesuschrist.org/study/general-conference/1971/10/with-hand-and-heart
46,1971,October,Sunday,A,Bruce R. McConkie,How to Worship,https://www.churchofjesuschrist.org/study/general-conference/1971/10/how-to-worship
47,1971,October,Sunday,A,Joseph Anderson,The Living Christ,https://www.churchofjesuschrist.org/study/general-conference/1971/10/the-living-christ
48,1971,October,Sunday,A,Gordon B. Hinckley,“If Ye Be Willing and Obedient”,https://www.churchofjesuschrist.org/study/general-conference/1971/10/if-ye-be-willing-and-obedient
