billing_decision_KEY,update__staff_KEY,update_date_utc,sheet_entry_KEY,ledger_entry_KEY,sheet_entry__client_KEY,sheet_entry__engagement_KEY,sheet_entry__activity_KEY,sheet_entry__staff_billing_rate_KEY,sheet_entry__sheet_entry_type_KEY,sheet_entry__staff_KEY,sheet_entry__approved__staff_KEY,sheet_entry__posted__staff_KEY,sheet_entry__entry_date,activity__activity_class_KEY,activity__activity_method_KEY,invoice_KEY,invoice__ledger_entry_KEY,invoice__report_definition_KEY,invoice__client_KEY,invoice__invoice_date,invoice__posted__staff_KEY,bill_amount,adjustment,units_closed,amount_closed,surcharge,discount,billing_decision_guid,time_amount_billed,time_amount_adjusted,expense_amount_billed,expense_amount_adjusted,progress_amount_billed,sales_tax,service_tax,tax,bill_amount_collected,surcharge_collected,sales_tax_collected,service_tax_collected,discount_collected,amount,recurring_bill,time_amount_recovered,expense_amount_recovered,time_amount_recovered_adjusted,expense_amount_recovered_adjusted
1,61,45330.72806,2447,142,4,92,17,,1,145,145,145,45306,1,1,142,142,1628,4,45330,61,0,0,0.2,0,0,0,5C8D70B0-1AA3-4DBB-B97D-C16B7B1A89AF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,0
2,61,45330.72806,2448,142,4,92,17,,1,145,145,145,45312,1,1,142,142,1628,4,45330,61,0,0,0.15,0,0,0,FB6DFE1E-935C-4C25-9AB6-3D1BBFC3A3AF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,0
3,61,45330.72806,2449,142,4,92,17,,1,145,145,145,45313,1,1,142,142,1628,4,45330,61,0,0,0.06,0,0,0,D97539AC-F49B-446F-AC96-4DDC9C738CD0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,0
4,61,45330.72806,2446,142,4,92,17,,1,145,145,145,45314,1,1,142,142,1628,4,45330,61,0,0,0.77,0,0,0,15C0AAD3-6584-405B-A430-6EDE37513F4C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,0
5,61,45330.72806,2445,142,4,92,17,,1,145,145,145,45321,1,1,142,142,1628,4,45330,61,0,0,0.33,0,0,0,FF3CF523-F501-4600-8ACD-7D47099C1631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,0
6,61,44994.98872,632,674,25,98,17,,1,113,113,113,44963,1,1,674,674,1628,25,44994,61,0,0,0.25,0,0,0,CE41501D-F847-4E8D-AC8E-B03119CD10C5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,0
7,61,44994.98872,633,674,25,98,17,,1,113,113,113,44960,1,1,674,674,1628,25,44994,61,0,0,0.5,0,0,0,48A820F9-72CD-437E-9F21-9AAEA7DE741C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,0
8,61,44994.98872,996,674,25,98,17,,1,99,99,99,44973,1,1,674,674,1628,25,44994,61,0,0,0.09,0,0,0,381A8B33-B914-4385-A485-257EACCB072D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,0
9,61,44964.98156,2422,351,23,94,17,,1,113,113,113,44949,1,1,351,351,1628,23,44964,61,0,0,0.25,0,0,0,547CACA0-2C1B-453B-9CEA-8300562BECFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,0
10,61,44964.98156,2423,351,23,94,17,,1,113,113,113,44952,1,1,351,351,1628,23,44964,61,0,0,0.25,0,0,0,2729C08F-BECC-456B-87D9-8B522C6AB36A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,0
11,61,44967.02399,2443,624,4,92,17,,1,43,43,43,44945,1,1,624,624,1628,4,44966,61,0,0,0.15,0,0,0,31DAEB98-6BAC-45B2-9F5C-5AAEA325A175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,0
