custom_value_KEY,custom_field_KEY,custom_field_type_KEY,table_information_KEY,row_KEY,custom_value,custom_value_as_checkbox,custom_value_as_number,custom_value_as_date,custom_value__staff_KEY,custom_value__custom_grouping_KEY,custom_field_slot,related_client_group_id,related_client_group__description
28,2,4,4,68,True,True,,,,,-358,,
29,2,4,4,69,True,True,,,,,-358,,
30,2,4,4,70,True,True,,,,,-358,,
31,2,4,4,71,True,True,,,,,-358,,
32,2,4,4,73,True,True,,,,,-358,,
33,2,4,4,74,True,True,,,,,-358,,
34,2,4,4,75,True,True,,,,,-358,,
35,2,4,4,94,True,True,,,,,-358,,
36,2,4,4,79,True,True,,,,,-358,,
37,2,4,4,76,True,True,,,,,-358,,
38,2,4,4,81,True,True,,,,,-358,,
39,2,4,4,103,True,True,,,,,-358,,
40,2,4,4,78,True,True,,,,,-358,,
41,2,4,4,84,True,True,,,,,-358,,
42,2,4,4,86,True,True,,,,,-358,,
43,2,4,4,89,True,True,,,,,-358,,
