ledger_entry_application_KEY,update__staff_KEY,update_date_utc,from__ledger_entry_KEY,from__ledger_entry__amount,from__ledger_entry__entry_date,from__ledger_entry__bank_account_KEY,from__ledger_entry__ledger_entry_type_KEY,from__ledger_entry__client_KEY,from__ledger_entry__approved__staff_KEY,from__ledger_entry__posted__staff_KEY,from__ledger_entry__posted_date,to__ledger_entry_KEY,to__ledger_entry__bank_account_KEY,to__ledger_entry__amount,to__ledger_entry__entry_date,to__ledger_entry__ledger_entry_type_KEY,to__ledger_entry__client_KEY,to__ledger_entry__approved__staff_KEY,to__ledger_entry__posted__staff_KEY,to__ledger_entry__posted_date,applied_date,applied_amount
1,61,42789.96039,20,599.25,42766,,1,1,61,61,42772,915,3,-599.25,42789,4,1,61,61,42789,42789,599.25
2,61,42500.84371,98,78,42490,,1,4,61,61,42495,995,3,-78,42500,4,4,61,61,42500,42500,78
3,61,42527.89026,552,4599.1,42495,,1,6,61,61,42495,1066,3,-658.41,42527,4,6,61,61,42527,42527,658.41
4,61,42541.85755,552,4599.1,42495,,1,6,61,61,42495,1067,3,-2459.24,42541,4,6,61,61,42541,42541,2459.24
5,61,42548.86432,552,4599.1,42495,,1,6,61,61,42495,1068,3,-823.03,42548,4,6,61,61,42548,42548,823.03
6,61,42548.88494,552,4599.1,42495,,1,6,61,61,42495,1069,3,-658.42,42548,4,6,61,61,42548,42548,658.42
7,61,41739.88288,6,220,41729,,1,1,61,61,41734,899,3,-220,41739,4,1,61,61,41739,41739,220
8,61,42111.87755,64,677.11,42093,,1,2,61,61,42095,965,3,-677.11,42111,4,2,61,61,42111,42111,677.11
9,61,42494.85647,410,4.14,42480,,2,8,61,61,42480,697,3,-288.78,42494,4,8,61,61,42494,42494,4.14
10,61,41929.70956,8,247.25,41912,,1,1,61,61,41920,902,3,-247.25,41929,4,1,61,61,41929,41929,247.25
11,61,42494.85647,408,0.5,42420,,2,8,61,61,42422,697,3,-288.78,42494,4,8,61,61,42494,42494,0.5
12,61,42500.8439,16,1271,42490,,1,1,61,61,42494,911,3,-1271,42500,4,1,61,61,42500,42500,1271
13,61,42506.92492,65,788.9,42489,,1,2,61,61,42494,966,3,-788.9,42506,4,2,61,61,42506,42506,788.9
