ledger_entry_KEY,update__staff_KEY,update_date_utc,bank_account_KEY,bank_account__bank_account_id,bank_account__bank_account_id_sortable,bank_account__description,control_date,submittal_status_KEY,digita_vat_period_KEY,ledger_entry_subtype_KEY,ledger_entry_type_KEY,ledger_entry_type__ledger_entry_type_id,ledger_entry_type__ledger_entry_type_id_sortable,ledger_entry_type__description,client_KEY,client__client_id,client__client_id_sortable,client__description,client__office__office_id,client__partner__staff__staff_id,client__manager__staff__staff_id,entry_date,reference,normal_sign,debit_amount,credit_amount,amount,open_date,posted_open_amount,live_open_amount,posted_closed_amount,live_closed_amount,posted_application_count,comments,internal_comments,approved_date,approved__staff_KEY,approved__staff__staff_id,approved__staff__staff_id_sortable,posted_date,posted__staff_KEY,posted__staff__staff_id,posted__staff__staff_id_sortable,entry_number,digita_tax_point_date_override,digita_proforma__ledger_entry_KEY,void_date,is_posted,is_approved
1,61,43102.77712,,,,,41455,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,41455,,1,441.5,0,441.5,65381,0,0,441.5,441.5,1,,,41467,61,2014HM,2014HM,41470,61,2014HM,2014HM,500,,,,True,True
2,62,43102.77403,,,,,41523,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,41517,,1,75.6,0,75.6,65381,0,0,75.6,75.6,1,,,41527,61,2014HM,2014HM,41527,61,2014HM,2014HM,1102,,,,True,True
3,106,43102.76801,,,,,41578,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,41578,,1,178.75,0,178.75,65381,0,0,178.75,178.75,1,,,41584,61,2014HM,2014HM,41584,61,2014HM,2014HM,2227,,,,True,True
4,61,43102.76594,,,,,41608,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,41608,,1,144,0,144,65381,0,0,144,144,1,,,41613,61,2014HM,2014HM,41613,61,2014HM,2014HM,2677,,,,True,True
5,12,43102.76443,,,,,41639,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,41639,,1,140,0,140,65381,0,0,140,140,1,,,41647,61,2014HM,2014HM,41647,61,2014HM,2014HM,3001,,,,True,True
6,61,43102.75235,,,,,41729,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,41729,,1,220,0,220,65381,0,0,220,220,1,,,41733,61,2014HM,2014HM,41734,61,2014HM,2014HM,5446,,,,True,True
7,78,43102.73952,,,,,41820,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,41820,,1,338.5,0,338.5,65381,0,0,338.5,338.5,1,,,41828,61,2014HM,2014HM,41828,47,4648IS,4648IS,7921,,,,True,True
8,78,43102.73025,,,,,41912,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,41912,,1,247.25,0,247.25,65381,0,0,247.25,247.25,1,,,41920,61,2014HM,2014HM,41920,61,2014HM,2014HM,9522,,,,True,True
9,64,43102.72464,,,,,41971,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,41971,,1,402.5,0,402.5,65381,0,0,402.5,402.5,1,,,41976,61,2014HM,2014HM,41977,61,2014HM,2014HM,10475,,,,True,True
10,82,43102.71804,,,,,42035,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,42035,,1,155.25,0,155.25,65381,0,0,155.25,155.25,1,,,42040,61,2014HM,2014HM,42041,61,2014HM,2014HM,11629,,,,True,True
11,64,43102.70237,,,,,42125,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,42124,,1,201.25,0,201.25,65381,0,0,201.25,201.25,1,,,42129,61,2014HM,2014HM,42131,61,2014HM,2014HM,14544,,,,True,True
12,78,43102.695,,,,,42185,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,42185,,1,1164.5,0,1164.5,65381,0,0,1164.5,1164.5,1,,,42194,61,2014HM,2014HM,42194,61,2014HM,2014HM,15937,,,,True,True
13,76,43102.68262,,,,,42308,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,42308,,1,402.5,0,402.5,65381,0,0,402.5,402.5,1,,,42314,61,2014HM,2014HM,42314,61,2014HM,2014HM,18114,,,,True,True
14,76,43102.6756,,,,,42369,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,42369,,1,166.75,0,166.75,65381,0,0,166.75,166.75,1,,,42382,61,2014HM,2014HM,42382,61,2014HM,2014HM,19253,,,,True,True
15,106,43102.67145,,,,,42400,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,42400,,1,103.5,0,103.5,65381,0,0,103.5,103.5,1,,,42410,61,2014HM,2014HM,42410,61,2014HM,2014HM,19778,,,,True,True
16,61,43102.64999,,,,,42490,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,42490,,1,1271,0,1271,65381,0,0,1271,1271,1,,,42494,61,2014HM,2014HM,42494,61,2014HM,2014HM,22301,,,,True,True
17,61,43102.62249,,,,,42521,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,42521,,1,1695,0,1695,65381,0,0,1695,1695,1,,,42527,61,2014HM,2014HM,42527,61,2014HM,2014HM,23508,,,,True,True
18,61,43102.59331,,,,,42582,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,42582,,1,318,0,318,65381,0,0,318,318,1,,,42590,61,2014HM,2014HM,42590,61,2014HM,2014HM,24536,,,,True,True
