Country,Religion,url,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Argentina,South America,https://www.countryflags.io/ar/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,3,3,3,4,8,8,8,9,9,9,9,10,10,11,11,11
Brazil,South America,https://www.countryflags.io/br/flat/64.png,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7,7,7,7,7,7,7,12,14,15,16,17,19,23,25,28,31,34,36,36
Venezuela,South America,https://www.countryflags.io/ve/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Colombia,South America,https://www.countryflags.io/co/flat/64.png,0,0,0,0,0,0,0,0,0,1,2,2,3,3,4,5,5,5,5,6,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,10,11,14,14,20,22,23,23
Chile,South America,https://www.countryflags.io/cl/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2
Uruguay,South America,https://www.countryflags.io/uy/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Australia,Oceania,https://www.countryflags.io/au/flat/64.png,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,3,3,5,7,8,9,9,10,11,11,11,12,12,16,18,19,26,31,33,33,33,34,36,36,37,40,40,40,41,44,54,60,63,63,64,64,67,72,73,79,83,92,99,102,109,109
New Zealand,Oceania,https://www.countryflags.io/nz/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
United States,North America,https://www.countryflags.io/us/flat/64.png,79,81,86,91,100,104,105,113,119,131,142,154,170,185,197,209,222,227,233,235,241,252,271,298,318,335,356,374,389,408,433,446,469,472,475,475,476,478,480,486,491,498,507,520,532,539,545,563,594,624,649,655,659,667,676,687,708,734,774,800,800
Canad,North America,https://www.countryflags.io/ca/flat/64.png,0,0,2,2,3,3,3,4,4,5,5,5,5,6,7,9,11,11,11,11,11,11,13,14,15,16,16,16,18,19,20,22,26,26,26,26,26,26,26,26,27,28,28,28,28,30,31,31,32,37,42,47,56,56,62,70,81,90,97,108,108
