,year,month,conference_id
0,1970,April,1
1,1970,October,2
2,1971,April,3
3,1971,October,4
4,1972,April,5
5,1972,October,6
6,1973,April,7
7,1973,October,8
8,1974,April,9
9,1974,October,10
10,1975,April,11
11,1975,October,12
12,1976,April,13
13,1976,October,14
14,1977,April,15
15,1977,October,16
16,1978,April,17
17,1978,October,18
18,1979,April,19
19,1979,October,20
20,1980,April,21
21,1980,October,22
22,1981,April,23
23,1981,October,24
24,1982,April,25
25,1982,October,26
26,1983,April,27
27,1983,October,28
28,1984,April,29
29,1984,October,30
30,1985,April,31
31,1985,October,32
32,1986,April,33
33,1986,October,34
34,1987,April,35
35,1987,October,36
36,1988,April,37
37,1988,October,38
38,1989,April,39
39,1989,October,40
40,1990,April,41
41,1990,October,42
42,1991,April,43
43,1991,October,44
44,1992,April,45
45,1992,October,46
46,1993,April,47
47,1993,October,48
48,1994,April,49
49,1994,October,50
50,1995,April,51
51,1995,October,52
52,1996,April,53
53,1996,October,54
54,1997,April,55
55,1997,October,56
56,1998,April,57
57,1998,October,58
58,1999,April,59
59,1999,October,60
60,2000,April,61
61,2000,October,62
62,2001,April,63
63,2001,October,64
64,2002,April,65
65,2002,October,66
66,2003,April,67
67,2003,October,68
68,2004,April,69
69,2004,October,70
70,2005,April,71
71,2005,October,72
72,2006,April,73
73,2006,October,74
74,2007,April,75
75,2007,October,76
76,2008,April,77
77,2008,October,78
78,2009,April,79
79,2009,October,80
80,2010,April,81
81,2010,October,82
82,2011,April,83
83,2011,October,84
84,2012,April,85
85,2012,October,86
86,2013,April,87
87,2013,October,88
88,2014,April,89
89,2014,October,90
90,2015,April,91
91,2015,October,92
92,2016,April,93
93,2016,October,94
94,2017,April,95
95,2017,October,96
96,2018,April,97
97,2018,October,98
98,2019,April,99
99,2019,October,100
100,2020,April,101
101,2020,October,102
102,2021,April,103
103,2021,October,104
104,2022,April,105
105,2022,October,106
106,2023,April,107
107,2023,October,108
108,2024,April,109
