,Title,URL,main_body_hrefs,scripture,book_name,chapter_and_verse,chapter,scripture_type,quote_id
0,The Morning Breaks,/study/manual/hymns/the-morning-breaks?lang=eng,isa/60.1-3?lang=eng#p1,Isaiah 60:1,Isaiah,60:1-3,Isaiah 60,SEQUENCE,0
1,The Morning Breaks,/study/manual/hymns/the-morning-breaks?lang=eng,isa/60.1-3?lang=eng#p1,Isaiah 60:2,Isaiah,60:1-3,Isaiah 60,SEQUENCE,1
2,The Morning Breaks,/study/manual/hymns/the-morning-breaks?lang=eng,isa/60.1-3?lang=eng#p1,Isaiah 60:3,Isaiah,60:1-3,Isaiah 60,SEQUENCE,2
3,The Morning Breaks,/study/manual/hymns/the-morning-breaks?lang=eng,3-ne/16.7-20?lang=eng#p7,3 Nephi 16:7,3 Nephi,16:7-20,3 Nephi 16,SEQUENCE,3
4,The Morning Breaks,/study/manual/hymns/the-morning-breaks?lang=eng,3-ne/16.7-20?lang=eng#p7,3 Nephi 16:8,3 Nephi,16:7-20,3 Nephi 16,SEQUENCE,4
5,The Morning Breaks,/study/manual/hymns/the-morning-breaks?lang=eng,3-ne/16.7-20?lang=eng#p7,3 Nephi 16:9,3 Nephi,16:7-20,3 Nephi 16,SEQUENCE,5
6,The Morning Breaks,/study/manual/hymns/the-morning-breaks?lang=eng,3-ne/16.7-20?lang=eng#p7,3 Nephi 16:10,3 Nephi,16:7-20,3 Nephi 16,SEQUENCE,6
7,The Morning Breaks,/study/manual/hymns/the-morning-breaks?lang=eng,3-ne/16.7-20?lang=eng#p7,3 Nephi 16:11,3 Nephi,16:7-20,3 Nephi 16,SEQUENCE,7
8,The Morning Breaks,/study/manual/hymns/the-morning-breaks?lang=eng,3-ne/16.7-20?lang=eng#p7,3 Nephi 16:12,3 Nephi,16:7-20,3 Nephi 16,SEQUENCE,8
9,The Morning Breaks,/study/manual/hymns/the-morning-breaks?lang=eng,3-ne/16.7-20?lang=eng#p7,3 Nephi 16:13,3 Nephi,16:7-20,3 Nephi 16,SEQUENCE,9
10,The Morning Breaks,/study/manual/hymns/the-morning-breaks?lang=eng,3-ne/16.7-20?lang=eng#p7,3 Nephi 16:14,3 Nephi,16:7-20,3 Nephi 16,SEQUENCE,10
11,The Morning Breaks,/study/manual/hymns/the-morning-breaks?lang=eng,3-ne/16.7-20?lang=eng#p7,3 Nephi 16:15,3 Nephi,16:7-20,3 Nephi 16,SEQUENCE,11
12,The Morning Breaks,/study/manual/hymns/the-morning-breaks?lang=eng,3-ne/16.7-20?lang=eng#p7,3 Nephi 16:16,3 Nephi,16:7-20,3 Nephi 16,SEQUENCE,12
13,The Morning Breaks,/study/manual/hymns/the-morning-breaks?lang=eng,3-ne/16.7-20?lang=eng#p7,3 Nephi 16:17,3 Nephi,16:7-20,3 Nephi 16,SEQUENCE,13
14,The Morning Breaks,/study/manual/hymns/the-morning-breaks?lang=eng,3-ne/16.7-20?lang=eng#p7,3 Nephi 16:18,3 Nephi,16:7-20,3 Nephi 16,SEQUENCE,14
15,The Morning Breaks,/study/manual/hymns/the-morning-breaks?lang=eng,3-ne/16.7-20?lang=eng#p7,3 Nephi 16:19,3 Nephi,16:7-20,3 Nephi 16,SEQUENCE,15
16,The Morning Breaks,/study/manual/hymns/the-morning-breaks?lang=eng,3-ne/16.7-20?lang=eng#p7,3 Nephi 16:20,3 Nephi,16:7-20,3 Nephi 16,SEQUENCE,16
17,The Spirit of God,/study/manual/hymns/the-spirit-of-god?lang=eng,dc/109.79-80?lang=eng#p79,D&C 109:79,D&C,109:79-80,D&C 109,SEQUENCE,17
18,The Spirit of God,/study/manual/hymns/the-spirit-of-god?lang=eng,dc/109.79-80?lang=eng#p79,D&C 109:80,D&C,109:79-80,D&C 109,SEQUENCE,18
19,Now Let Us Rejoice,/study/manual/hymns/now-let-us-rejoice?lang=eng,moses/7.61-67?lang=eng#p61,Moses 7:61,Moses,7:61-67,Moses 7,SEQUENCE,19
20,Now Let Us Rejoice,/study/manual/hymns/now-let-us-rejoice?lang=eng,moses/7.61-67?lang=eng#p61,Moses 7:62,Moses,7:61-67,Moses 7,SEQUENCE,20
21,Now Let Us Rejoice,/study/manual/hymns/now-let-us-rejoice?lang=eng,moses/7.61-67?lang=eng#p61,Moses 7:63,Moses,7:61-67,Moses 7,SEQUENCE,21
22,Now Let Us Rejoice,/study/manual/hymns/now-let-us-rejoice?lang=eng,moses/7.61-67?lang=eng#p61,Moses 7:64,Moses,7:61-67,Moses 7,SEQUENCE,22
23,Now Let Us Rejoice,/study/manual/hymns/now-let-us-rejoice?lang=eng,moses/7.61-67?lang=eng#p61,Moses 7:65,Moses,7:61-67,Moses 7,SEQUENCE,23
24,Now Let Us Rejoice,/study/manual/hymns/now-let-us-rejoice?lang=eng,moses/7.61-67?lang=eng#p61,Moses 7:66,Moses,7:61-67,Moses 7,SEQUENCE,24
25,Now Let Us Rejoice,/study/manual/hymns/now-let-us-rejoice?lang=eng,moses/7.61-67?lang=eng#p61,Moses 7:67,Moses,7:61-67,Moses 7,SEQUENCE,25
26,Truth Eternal,/study/manual/hymns/truth-eternal?lang=eng,dc/50.24-25?lang=eng#p24,D&C 50:24,D&C,50:24-25,D&C 50,SEQUENCE,26
27,Truth Eternal,/study/manual/hymns/truth-eternal?lang=eng,dc/50.24-25?lang=eng#p24,D&C 50:25,D&C,50:24-25,D&C 50,SEQUENCE,27
28,High on the Mountain Top,/study/manual/hymns/high-on-the-mountain-top?lang=eng,isa/2.2-3?lang=eng#p2,Isaiah 2:2,Isaiah,2:2-3,Isaiah 2,SEQUENCE,28
29,High on the Mountain Top,/study/manual/hymns/high-on-the-mountain-top?lang=eng,isa/2.2-3?lang=eng#p2,Isaiah 2:3,Isaiah,2:2-3,Isaiah 2,SEQUENCE,29
30,Redeemer of Israel,/study/manual/hymns/redeemer-of-israel?lang=eng,ex/13.21-22?lang=eng#p21,Exodus 13:21,Exodus,13:21-22,Exodus 13,SEQUENCE,30
31,Redeemer of Israel,/study/manual/hymns/redeemer-of-israel?lang=eng,ex/13.21-22?lang=eng#p21,Exodus 13:22,Exodus,13:21-22,Exodus 13,SEQUENCE,31
32,"Israel, Israel, God Is Calling",/study/manual/hymns/israel-israel-god-is-calling?lang=eng,dc/133.7-16?lang=eng#p7,D&C 133:7,D&C,133:7-16,D&C 133,SEQUENCE,32
33,"Israel, Israel, God Is Calling",/study/manual/hymns/israel-israel-god-is-calling?lang=eng,dc/133.7-16?lang=eng#p7,D&C 133:8,D&C,133:7-16,D&C 133,SEQUENCE,33
34,"Israel, Israel, God Is Calling",/study/manual/hymns/israel-israel-god-is-calling?lang=eng,dc/133.7-16?lang=eng#p7,D&C 133:9,D&C,133:7-16,D&C 133,SEQUENCE,34
35,"Israel, Israel, God Is Calling",/study/manual/hymns/israel-israel-god-is-calling?lang=eng,dc/133.7-16?lang=eng#p7,D&C 133:10,D&C,133:7-16,D&C 133,SEQUENCE,35
36,"Israel, Israel, God Is Calling",/study/manual/hymns/israel-israel-god-is-calling?lang=eng,dc/133.7-16?lang=eng#p7,D&C 133:11,D&C,133:7-16,D&C 133,SEQUENCE,36
37,"Israel, Israel, God Is Calling",/study/manual/hymns/israel-israel-god-is-calling?lang=eng,dc/133.7-16?lang=eng#p7,D&C 133:12,D&C,133:7-16,D&C 133,SEQUENCE,37
38,"Israel, Israel, God Is Calling",/study/manual/hymns/israel-israel-god-is-calling?lang=eng,dc/133.7-16?lang=eng#p7,D&C 133:13,D&C,133:7-16,D&C 133,SEQUENCE,38
39,"Israel, Israel, God Is Calling",/study/manual/hymns/israel-israel-god-is-calling?lang=eng,dc/133.7-16?lang=eng#p7,D&C 133:14,D&C,133:7-16,D&C 133,SEQUENCE,39
40,"Israel, Israel, God Is Calling",/study/manual/hymns/israel-israel-god-is-calling?lang=eng,dc/133.7-16?lang=eng#p7,D&C 133:15,D&C,133:7-16,D&C 133,SEQUENCE,40
41,"Israel, Israel, God Is Calling",/study/manual/hymns/israel-israel-god-is-calling?lang=eng,dc/133.7-16?lang=eng#p7,D&C 133:16,D&C,133:7-16,D&C 133,SEQUENCE,41
42,Awake and Arise,/study/manual/hymns/awake-and-arise?lang=eng,dc/133.7-10?lang=eng#p7,D&C 133:7,D&C,133:7-10,D&C 133,SEQUENCE,42
43,Awake and Arise,/study/manual/hymns/awake-and-arise?lang=eng,dc/133.7-10?lang=eng#p7,D&C 133:8,D&C,133:7-10,D&C 133,SEQUENCE,43
44,Awake and Arise,/study/manual/hymns/awake-and-arise?lang=eng,dc/133.7-10?lang=eng#p7,D&C 133:9,D&C,133:7-10,D&C 133,SEQUENCE,44
45,Awake and Arise,/study/manual/hymns/awake-and-arise?lang=eng,dc/133.7-10?lang=eng#p7,D&C 133:10,D&C,133:7-10,D&C 133,SEQUENCE,45
